SubmitTime,AcceptTime,HITId,AssignmentId,WorkerId,WorkerLocation,AssignmentStatus,AutoApprovalTime,duration,inputId,000000022892,000000402433,000000426166,000000576955,000000577862,pay
2021-05-07 22:25:13+09:00,2021-05-07 22:23:33+09:00,36GJS3V78W5SETU7PRI3GRFAM0SGJJ,33C7UALJVND9DH6E665B8YXGRX2189,A1P6OXEJ86HQRM,US,Submitted,2021-05-10 22:25:13+09:00,0:01:40,3NS0A6KXC6NL1SX4XFQRS5YQRZKZGB,"['lizard', 'cat']",['pizza'],['bicycle'],"['dog', 'tree', 'well', 'coconut', 'horse']",['giraffe'],0.18
2021-05-07 22:31:34+09:00,2021-05-07 22:27:42+09:00,36GJS3V78W5SETU7PRI3GRFAM0SGJJ,3PW9OPU9PSZYR24PQPWAY7KD5XB218,A1PTH9KTRO06EG,US,Submitted,2021-05-10 22:31:34+09:00,0:03:52,3DY46V3X3RXPEHOV9V0KZ4060R155V,"['bear', 'deer', 'dog', 'cat']","['egg', 'toast', 'food', 'fire', 'cat', 'lion', 'fire', 'animal', 'pizza']","['car', 'dog', 'grass', 'tree', 'pond', 'bike', 'bicycle']","['trees', 'forest', 'bear', 'deer', 'horse']",['giraffe'],0.18
2021-05-07 22:32:32+09:00,2021-05-07 22:28:51+09:00,36GJS3V78W5SETU7PRI3GRFAM0SGJJ,369J354OFFPJDIDTVATGV75VNRWG63,ALTMSSCYKZS8Z,US,Submitted,2021-05-10 22:32:32+09:00,0:03:41,33SA9F9TRZ9JNJW8GXGWTYJWXH1WE1,"['door', 'elephant', 'water', 'mammal', 'horse', 'zebra', 'goose', 'black', 'fur', 'cat']","['orange', 'crab', 'stone', 'grass', 'food', 'sand', 'stick', 'box', 'water', 'drinks']","['horse', 'door', 'rope', 'bicycle']","['bird', 'eagle', 'horse']","['Statue', 'rope', 'wood', 'chair', 'sofa', 'zebra', 'giraffe']",0.18
2021-05-07 22:34:05+09:00,2021-05-07 22:32:51+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3QUO65DNQW3S76KSFB4RGMSDHZ5OU0,AOMFEAWQHU3D8,US,Submitted,2021-05-10 22:34:05+09:00,0:01:14,3EF8EXOTT3AYXY2XXA22XO6U6CT1JX,"['duck', 'cat']","['pasta', 'pizza']","['bik', 'bike', 'car', 'building', 'bicycle']",['horse'],['giraffe'],0.18
2021-05-07 22:36:36+09:00,2021-05-07 22:35:56+09:00,36GJS3V78W5SETU7PRI3GRFAM0SGJJ,3ZV9H2YQQFMGDLGBRDZ0A7FZ7OKW3C,A3J2T92V25NJ83,US,Submitted,2021-05-10 22:36:36+09:00,0:00:40,3A1PQ49WVJW26S779AZHLBQFTI81H7,['cat'],"['chicken', 'pizza']","['monkey', 'bike', 'bicycle']","['lion', 'beaver', 'snake', 'horse']",['giraffe'],0.18
2021-05-07 22:36:39+09:00,2021-05-07 22:33:17+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3VZLGYJEYNPWNESUMPQVGRYLVLPZX5,A3V4AW6DGWBHDO,US,Submitted,2021-05-10 22:36:39+09:00,0:03:22,3A1COHJ8NLAKHSRS8V8W0LDN7QU8HI,"['water', 'shark', 'possum', 'racoon', 'otter', 'animal', 'cat']","['pumpkin', 'tiger', 'cake', 'lava', 'volcano', 'pasta', 'pizza']","['rollercoaster', 'track', 'bicycle']","['tree', 'ground', 'stick', 'branch', 'stake', 'horse']","['dog', 'rug', 'snake', 'giraffe']",0.18
2021-05-07 22:37:11+09:00,2021-05-07 22:36:37+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,3OVR4I9USRYWBK3TFI5DSNPJXN04Q2,A3J2T92V25NJ83,US,Submitted,2021-05-10 22:37:11+09:00,0:00:34,3LRKMWOKB7WVMYPXY052Q14PHGJZ2W,"['egg', 'cat']",['pizza'],"['painting', 'house', 'plague', 'plaque', 'desk', 'bicycle']",['horse'],['giraffe'],0.18
2021-05-07 22:37:19+09:00,2021-05-07 22:36:26+09:00,36GJS3V78W5SETU7PRI3GRFAM0SGJJ,3VA45EW49P2CY9TUDNU75KNG6281OE,AOMFEAWQHU3D8,US,Submitted,2021-05-10 22:37:19+09:00,0:00:53,3SKEMFQBZ5KBJIS0EGBTDDTFZ7UK8U,"['bench', 'horse', 'car', 'cat']",['pizza'],['bicycle'],"['car', 'elephant', 'truck', 'motorcycle', 'horse']",['giraffe'],0.18
2021-05-07 22:38:17+09:00,2021-05-07 22:35:59+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,374TNBHA8DAC9RHD4PTK8CTQSOYYQG,A3CBN6Y98YGAHZ,US,Submitted,2021-05-10 22:38:17+09:00,0:02:18,3C44YUNSI34OB4L78GRHVMTF46KPDP,"['person', 'gorilla', 'bear', 'coconut', 'bird', 'plane', 'cat']","['desert', 'pizza']","['tire', 'bicycle']","['tree', 'chair', 'dirt', 'bus', 'table', 'railroad', 'horse']","['elephant', 'cat', 'giraffe']",0.18
2021-05-07 22:38:39+09:00,2021-05-07 22:34:26+09:00,32FESTC2NI5OBXPWZ4QYX2365OYCU1,39GXDJN2OVTPZTMCDKP0FM4WG1AV8T,A1BZWNYN6GHJ76,US,Submitted,2021-05-10 22:38:39+09:00,0:04:13,34PGFRQONQQRYZI0UYRNQEWO2PXWJM,"['mother', 'face', 'watch', 'full', 'plate', 'neg', 'leg', 'wall', 'full', 'ball']","['cookie', 'orange', 'color', 'orange', 'sweet', 'cookies', 'pizza']","['white', 'color', 'green', 'red', 'image', 'cycle', 'cycle', 'wheel', 'wall', 'room']","['boat', 'cookie', 'color', 'wall', 'grass', 'suit', 'ball', 'cycle', 'tom', 'bottle']","['green', 'grass', 'red', 'shop', 'pull', 'wall', 'shop', 'road', 'blue', 'wall']",0.18
