worker_id,quality
A2RLOB9VH2XSRT,1.0
A173A97OFDAX9F,1.0
ANBWJZYU2A68T,1.0
ASNMT3I94HZ44,1.0
AHTIGV6OOXMAK,1.0
A2XNLWE8B2EG2L,1.0
A3AB866JYLTERS,1.0
AVOF14300525D,1.0
A28DRH00RNLL0L,1.0
A2SNIQ9FD2T58Z,1.0
A1QKW8E5J7NAF2,1.0
A1S8KMGKJACGVO,1.0
A39HRVAJ5ISRL7,1.0
A1MAAPY9K1G1YR,1.0
A36ADZHZFFDEQA,1.0
A2LEBJWW395FST,1.0
A31Z5TPD8QKE26,0.98
A1YZ0ETOCJO1B2,0.98
A20EVX30W7PLZK,0.98
A2MOKIEQZ0OF2M,0.98
A1YIOBUMCTKQWU,0.98
A38GSW5JQW6NVB,0.98
A2N913YUJWD8BT,0.98
AIOOOO5OXWXKM,0.98
A1PRRDIHIHTHJV,0.98
A2ZPSPA0R8KSL8,0.98
A1G7GSCKWC9UBC,0.98
A3MTCZ7DF2VVW0,0.98
A23CKSG4LZJ17I,0.98
A113XPG6TXPMO2,0.98
A259AXODQQ0WUJ,0.98
AFO7ZJO279E57,0.98
A17ZMF7GGP6HKO,0.96
A261NEZSEFSRQI,0.96
A3ADHMAWDD7M6V,0.96
A11JC9IZ7WY72T,0.96
A15X9KAJB8M54B,0.96
AOG0PUCLMU0HH,0.96
A36UD0YBRIWTVL,0.96
A3ENQKD0V9VHBF,0.96
A2MB8KB4VLGFEE,0.96
A3MW1FSUZ4MMGE,0.96
A19V3A2N7GWL77,0.96
A45HNDMV9V0NA,0.96
A3B9OZQTE4US3T,0.94
A34CPKFZXBX1PO,0.94
AJDHPRCJ985C7,0.94
A27TE0L5XP1H0U,0.94
A13QSCEHVHJ3Z8,0.94
A8289AEOKHKV4,0.94
A1KGCOR8OXYR72,0.94
A7JSB91ZAI8NZ,0.94
ATTAQA9KLECBA,0.94
A3TDA1NWHNQFE3,0.94
A1BKNIEC5KYJLT,0.94
A1T4EW5OY521RU,0.94
A2M190GHL0QK5X,0.94
AH7X1YWMNPEQ4,0.92
A4J4GGMKJ68L0,0.92
A140F9GDRQKAT2,0.92
AFOP28WMLK9UB,0.92
AXY0D2AMLKE2A,0.92
A2MCRVU8I9VNHG,0.92
A37W0GRXSM04LX,0.92
A2TGKSWC0AMK5G,0.92
A19Z68L0RHQVWL,0.9
A2F0A4FIVT9M3O,0.9
A2HSX08DWDYJU7,0.9
A2PJ9BRKDZ0AUE,0.9
A7WVKWZKY0IRD,0.9
AMUKX1DM4ASA7,0.88
A3LAIVLVWO2BQC,0.88
A748N8WFG2HR4,0.88
A2W434UNNBRS4L,0.88
ASCBKU2SM61JU,0.88
A1WKF2VH7TV0H2,0.86
A2KMED79GMTHF9,0.86
A1R5O1NGQM4OU1,0.86
A1HK9GI7D9QG0E,0.86
A25EVN04BC2KJ6,0.86
A1BZNPQ0H7ZSER,0.86
A3PX6V75SHQ4JP,0.84
A1OGY1FRX8HZ1W,0.84
AK2YUQUFZN1L6,0.8
A4158R4Y06ZB4,0.8
ADI9WQP6XAJR,0.8
AMJDEMVSM0M9B,0.78
A2EUBRVLXT62HU,0.78
A21EZISIJ3JPSW,0.78
A376RFEFI88BBA,0.76
A1IEYSF6N6ELI6,0.76
ARG392N6HWZCJ,0.74
AVPZJ69E3WFYM,0.72
A3ICFB5LP54FO2,0.7
AQJQ2B28VFNTX,0.7
A1RO1HA4SAH1OQ,0.66
ARPBDM5QZ4XQC,0.6
A3166KCB9J9NK6,0.6
A1SJRFJWFXSDH4,0.58
